"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"VPS13C",-0.205254449429395,12.7849965506084,-1.29930066598077,0.206237944478381,0.375718012156032,-6.86741976087244,"VPS13C",0.153205272312776,0.685631428472757,""
"CRIP2",-0.205482291127987,12.2489274881497,-1.65709218672188,0.111142633498027,0.242735681277719,-6.34171490287485,"CRIP2",0.0989795137496258,0.9541193169252,""
"ATG7",-0.205618675977663,10.6965798048107,-0.836238168813312,0.414048418063851,0.591320644959451,-7.19148718158326,"ATG7",0.241120833987475,0.382948870307998,""
"SUPV3L1",-0.206499796345295,10.9105908670823,-1.46791664940385,0.155731873576408,0.310163272216895,-6.61977064291453,"SUPV3L1",0.126474236113218,0.807622491467303,""
"COX7C",-0.206758706675734,15.138109880608,-0.860716807889387,0.397948530595076,0.577257321116628,-7.33614179498277,"COX7C",0.235386279642852,0.40017309456955,""
"RAB21",-0.207400172624199,13.4289116696852,-2.83843363900058,0.00910240394374015,0.0361820556763671,-4.10692318855884,"RAB21",0.0147538353589281,2.04084389541228,"+"
"ROCK1",-0.207739609634912,12.0611648493922,-0.974468671354428,0.340467923789781,0.520801281606816,-7.17971449874654,"ROCK1",0.212365389967727,0.467923797634573,""
"TRIM28",-0.208342206520543,11.4274499524447,-2.20423852540449,0.0373861247395251,0.109294268646089,-5.41639438008487,"TRIM28",0.0445665569613304,1.42728954932728,"+"
"ACTN4",-0.208566111243751,12.9741554951706,-3.12339442971329,0.00463597054452994,0.0214694946576775,-3.46380269523349,"ACTN4",0.0087545437509692,2.33385933206753,"+"
"MYOM1",-0.20889839907754,19.1273454195458,-2.93135141177233,0.00732125397679827,0.030323341362658,-3.90034417636616,"MYOM1",0.0123648470943415,2.1354145270615,"+"
"RPL35",-0.20890982692679,10.1314905047623,-1.04620038317174,0.308013730595422,0.488521326112663,-7.05289139618834,"RPL35",0.199202700898478,0.511429923145948,""
"ITGAV",-0.209062194809873,10.7774223473452,-1.05384271052321,0.302495142104381,0.485952919848876,-7.15108478711598,"ITGAV",0.198155390499928,0.519281595471683,""
"TAGLN2",-0.209317994876388,13.4115206496767,-2.5250420602999,0.0186198734830855,0.0634405689387984,-4.77789018238719,"TAGLN2",0.0258689477892522,1.7300232742561,"+"
"MYH9",-0.209414684162459,14.0887190053519,-3.04264260481857,0.00562401752519266,0.0250715547618402,-3.64885608592165,"MYH9",0.0102233437054309,2.24995333466629,"+"
"BCCIP",-0.209425312938217,11.4631716032221,-1.36898083655599,0.184886868965338,0.349041041542743,-6.72660620357478,"BCCIP",0.142327293575915,0.733093932206972,""
"GNAS",-0.209845818283686,12.7330476523362,-1.97766924153983,0.0596105518167879,0.154394026515518,-5.83251348563303,"GNAS",0.0629567338016057,1.22467685787398,""
"MDH2",-0.20991894553422,19.9461152712093,-1.6790415988158,0.106175231554419,0.236109955484652,-6.33009695113477,"MDH2",0.0962777637894055,0.973976783196272,""
"TOM1",-0.211101608261583,13.3685592009894,-1.73740096425468,0.0951912007585279,0.217081447466858,-6.23774229877721,"TOM1",0.0885185729647684,1.02140319487849,""
"TMX4",-0.21147480430427,13.7903983612388,-1.77449801383839,0.0887243068170099,0.206446313910799,-6.17776499526092,"TMX4",0.0841819202629487,1.05195738501191,""
