"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"SNRPC",0.204163246172204,10.5205593618881,1.66329796494859,0.10332972244746,0.37066113395416,-4.81858382797963,"SNRPC",0.249117934175783,0.985774737161614,"no"
"MRPL37",0.204149838498161,11.7039531851434,1.81321268082547,0.0764434180673834,0.318017856115825,-4.58681884000253,"MRPL37",0.213736872008769,1.11665990227355,"no"
"BCKDK",0.203890587478101,12.4792246209074,1.76196752397011,0.0845513079036552,0.33387437201073,-4.68819365795693,"BCKDK",0.224393890296133,1.07287967001837,"no"
"PGM5",0.203548013884559,14.3826662616315,0.765869617877943,0.447567640684355,0.732234931328126,-5.86885689902983,"PGM5",0.492128353134451,0.349141320669707,"no"
"MAPRE1",0.203333895385667,12.0012128389612,2.48778852055845,0.0164424544494568,0.139387649584297,-3.32349064784768,"MAPRE1",0.0936811554630173,1.78403335259335,"no"
"NARS1",0.203082879065729,14.3934695157728,3.80030487846604,0.000413490838832951,0.0220758164510259,-0.0443771171657898,"NARS1",0.0148369529085924,3.38353410809057,"yes"
"PRRC1",0.202471192246902,10.5329782401615,1.21652420126897,0.232910584560777,0.547254454188036,-5.21840013338703,"PRRC1",0.367804678201516,0.632810774617373,"no"
"PDCL3",0.202364190534116,10.5956685927818,1.27513735288027,0.208502504877843,0.522252581722695,-5.373770216402,"PDCL3",0.351001149995988,0.680888723193386,"no"
"STYXL2",0.200726064169629,11.2566569876534,1.82213959269076,0.075055093629154,0.314848679884058,-4.57212938222661,"STYXL2",0.211606897852929,1.12461982893744,"no"
"COA7",0.200628596450995,11.7924514717105,2.79354883472313,0.00750942504685967,0.0909650101264556,-2.64167989610378,"COA7",0.0611367454775668,2.12439331313364,"no"
"NT5C3A",0.200441861708939,16.7976508244669,2.44049899570172,0.018474622952843,0.149070649809886,-3.42367730673412,"NT5C3A",0.100189010729873,1.73342441632532,"no"
"DHRS7B",0.199587051751672,12.4929486749017,2.07209841014463,0.043744887373491,0.237507552349858,-4.15198515333374,"DHRS7B",0.159626638383566,1.35907269727545,"no"
"TOMM20",0.19954488349329,10.8555623544967,1.22671439668452,0.227067689081862,0.541469104733672,-5.36261503377311,"TOMM20",0.363916398118894,0.643844659931691,"no"
"RBP1",0.199382686013001,11.4647428267911,1.05975004467708,0.295745849938621,0.599972125735857,-5.52677502512424,"RBP1",0.403235739695476,0.529081340905956,"no"
