"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"MYL6B",0.569262866227717,13.062367126646,2.54636146687189,0.0178879979119193,0.147216166723382,-3.39422367016836,"MYL6B",0.0867069258660885,1.74743826448922,""
"SPARC",0.564437988843901,11.8768101829813,4.47730851673515,0.000179823623425899,0.0128753714372944,0.860666241967048,"SPARC",0.00758329673676066,3.74515325559731,"+"
"COX20",0.560700036467059,10.9184046099181,2.19452239350943,0.0388128525580573,0.217109393996633,-4.05147412798274,"COX20",0.12787242426621,1.41102443753059,""
"GBE1",0.552988805130145,14.5986606301357,6.63819332357472,8.11785089483007e-07,0.000774984165426444,5.87456638170069,"GBE1",0.000456447794251327,6.09055892987845,"+"
"ANKRD2",0.55180268683954,17.651271000262,2.41461745320095,0.023928697059383,0.175380559529406,-3.65200625100249,"ANKRD2",0.103295103465386,1.62108094849587,""
"CTSC",0.546477912288976,10.7132754998193,2.92824719752495,0.008473573394697,0.108916540170731,-2.62379231783462,"CTSC",0.0641493294137955,2.07193340450694,""
"COMTD1",0.531415975387338,11.9430828117184,3.66788570179022,0.00124708005063688,0.0449303950888042,-0.963506008403414,"COMTD1",0.0264629661456894,2.90410566806593,"+"
"DNAJA4",0.531082540696566,11.7292695101455,3.4125313210489,0.00233707488171932,0.0597623434039654,-1.54453576310416,"DNAJA4",0.0351986415245272,2.6313273722477,"+"
"EZR",0.530215609729629,11.8466714752268,3.89434326360032,0.000710073454223517,0.0308128844378205,-0.440211140336815,"EZR",0.0181480780686984,3.14869672295151,"+"
"DNAJC21",0.526197659255386,12.7480091320511,3.39341094737754,0.00255680902535725,0.0639953756055331,-1.60456742688859,"DNAJC21",0.0376917998335582,2.59230170933421,"+"
"PSPH",0.519070224300924,11.4804841282951,2.82545792100096,0.0139073968333805,0.131890015002655,-2.84829254506417,"PSPH",0.0776801760828365,1.85675415302005,""
"ATP1A1",0.519041525316483,12.0638288876222,5.21934269023134,2.55161100222495e-05,0.00648175093912252,2.66818063636452,"ATP1A1",0.0038176017666386,4.59318553389449,"+"
"ANKRD1",0.517918219930895,11.81425215416,1.08088772735245,0.294442570168332,0.579945282784991,-5.53746681633995,"ANKRD1",0.341574391998072,0.530999399998092,""
"HSPB7",0.512006448617136,16.7860824456324,4.95923467371364,4.88963695456511e-05,0.00812652113867163,2.05986057433642,"HSPB7",0.00478633346868751,4.31072338514677,"+"
"TUBA1B",0.507717529703545,14.770510815049,3.148566260591,0.0045832025994699,0.0815297654961602,-2.14026205640433,"TUBA1B",0.0480191509539717,2.33883094443816,"+"
"COX11",0.505126375877859,10.7281957164132,2.32931314484233,0.0307411676980088,0.195216639217511,-3.77479916394718,"COX11",0.114978096775639,1.51227963992118,""
"LTBP4",0.504871476275719,10.3502540630189,3.27137550476387,0.00373463448586291,0.073765470120768,-1.90294746489809,"LTBP4",0.0434461601031672,2.42775189680458,"+"
"S100A4",0.503671006529322,13.5516216169851,3.31226150993426,0.00298297831631526,0.0662267433947821,-1.7693390809387,"S100A4",0.0390060239829068,2.52534990357353,"+"
"SYNC",0.501400165356539,12.2283159530294,5.24623171107263,2.38622863885873e-05,0.00648175093912252,2.73082642121199,"SYNC",0.0038176017666386,4.62228794631637,"+"
"CARNS1",0.496181370877478,11.775690989449,2.56095118810554,0.0173144231326032,0.144469191717537,-3.36520798325912,"CARNS1",0.0850890209614232,1.761591973332,""
"MTFMT",0.495346646877493,8.87457405032483,1.6975356847407,0.10961554039891,0.361680769242486,-4.72717974099301,"MTFMT",0.213021628968398,0.960127870750795,""
"BCO2",0.492480551515806,11.0028054850609,2.94601222524959,0.00759719737765244,0.102858966158004,-2.57445811022898,"BCO2",0.0605815580708779,2.11934659033762,""
"TIMM10B",0.492386668601728,13.2325759962207,1.87685694260807,0.114348194803925,0.366733740110237,-4.1707801505918,"TIMM10B",0.215997712235509,0.941770687138408,""
"CBR1",0.490665032515679,15.4808391061357,3.91259399529983,0.00067843364045856,0.0298928299426664,-0.397782807641788,"CBR1",0.0176061871970662,3.16849262551653,"+"
"KLHL41",0.488006894388331,19.2134789809143,5.05978210580472,3.80102708648787e-05,0.00725742771713416,2.29546794838208,"KLHL41",0.00427445749372377,4.42009903556125,"+"
"MLF2",0.487971782830401,10.1545831797165,2.03882650384065,0.0589343017892748,0.270927512559363,-4.21043822417983,"MLF2",0.159570054494819,1.22963185730705,""
