"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"PCMTD1",-0.0269872714205857,11.3560709591106,-0.150520223233922,0.882006822099448,0.961518277724237,-6.16791406310019,"PCMTD1",0.681416410637883,0.0545280556973333,""
"SNF8",-0.0271919646987833,10.8680908194856,-0.223642150636373,0.824990546337889,0.939008302543443,-6.26991152208037,"SNF8",0.665463862624392,0.0835510280522716,""
"UBAP2",-0.0273846145110426,13.5423492857101,-0.255109931322749,0.800706004304343,0.928014560453483,-6.30587534555882,"UBAP2",0.657672730154035,0.0965269148093446,""
"CFH",-0.0276071993494718,12.8540703919539,-0.276137062208126,0.784691816671272,0.920695172923271,-6.3002625412472,"CFH",0.652485568459398,0.105300876501311,""
"EIF3G",-0.0276112951145002,11.9624673657712,-0.335187014703283,0.740254632911627,0.900114458177651,-6.28214177197919,"EIF3G",0.637900264055705,0.130618865881711,""
"NIT2",-0.0277289382746044,13.1203655693056,-0.321560094970421,0.750434503381853,0.904771498780818,-6.28663172223532,"NIT2",0.641200652582397,0.124687206233657,""
"PRKAR2A",-0.0279100152370084,14.4766099216869,-0.29777678332144,0.768311473750499,0.913684931024453,-6.29402529106832,"PRKAR2A",0.647517494546438,0.114462681130115,""
"RPL5",-0.0279533619458761,13.1398604925846,-0.387059041722797,0.701957690992799,0.882812350456208,-6.26336355330662,"RPL5",0.625638468920702,0.153689063257795,""
"NIBAN2",-0.0282118644538727,11.0802051753092,-0.166063158922843,0.869678301776606,0.957864330492421,-6.23981676401759,"NIBAN2",0.678826902289422,0.0606413653125333,""
"APOD",-0.028346663747044,12.5357429450508,-0.185039229849959,0.854677491799879,0.953744545942758,-6.32138533567471,"APOD",0.675907260650288,0.0681977331718136,""
"EEFSEC",-0.0286363841567461,10.9957823125243,-0.218410720395112,0.829409824418479,0.941827996398192,-6.1754604005232,"EEFSEC",0.66746214566291,0.081230824692445,""
"FERMT2",-0.028659471155752,13.7356346386851,-0.451400486886716,0.655556647202453,0.861069450403405,-6.2363735419939,"FERMT2",0.610229537801986,0.183389774600153,""
"THEM6",-0.0286768964533604,12.4031185063832,-0.419633459788229,0.678304513378116,0.872540725018708,-6.2502095328739,"THEM6",0.618359091815563,0.168575293168371,""
"KHSRP",-0.0287939919610594,11.4871187849938,-0.337039899047085,0.738874121924097,0.900023732922083,-6.28151700246276,"KHSRP",0.637835968160936,0.131429543757076,""
"NDUFB8",-0.0288257073870035,15.221033994768,-0.414811662796348,0.681785354161473,0.87465460130399,-6.25222272117241,"NDUFB8",0.619857170452466,0.166352332346161,""
"RPS4X",-0.0288361446255028,12.8137619258707,-0.395527110094956,0.695778080335185,0.881564977117878,-6.26004488747407,"RPS4X",0.624754470475096,0.157529257306487,""
"NAA50",-0.0288913711476262,11.7360116054717,-0.366107491107056,0.717336484186152,0.890672799944183,-6.27126946218009,"NAA50",0.631209074701357,0.144277080111481,""
"RCC1L",-0.0290467024828143,10.2346721538291,-0.199010215815048,0.844148026588649,0.947797412767536,-6.23627538526635,"RCC1L",0.671692599072104,0.073581390467091,""
"TMEM38A",-0.0293893618375272,11.2567740305534,-0.276605682931478,0.784335986503961,0.920695172923271,-6.30013242040908,"TMEM38A",0.652485568459398,0.105497858454715,""
"PFAS",-0.029600483263577,11.0680686428544,-0.296665075290451,0.769150394575129,0.914303206492045,-6.29435710222121,"PFAS",0.647955658915928,0.113988732827975,""
"MT-CYB",-0.0296511888835891,11.3746846033646,-0.199840008861397,0.843600471456451,0.94776909102085,-6.21117688523501,"MT-CYB",0.671672527791696,0.0738631862216955,""
"ERP44",-0.0297466735675211,12.3758832614365,-0.420524338709951,0.677662183579918,0.872540725018708,-6.24983506444975,"ERP44",0.618359091815563,0.168986749155323,""
"LSM3",-0.0298596528822443,10.6620992113673,-0.146664459269154,0.884780438127341,0.962345630236418,-6.24539345056104,"LSM3",0.682002745388083,0.053164487878512,""
"MAPRE1",-0.0300281165127601,12.0710417638154,-0.403430562945473,0.690029753379096,0.877774200259426,-6.25688353033827,"MAPRE1",0.622067992619959,0.161132182523949,""
"ANO6",-0.0302970667689024,11.4787499313476,-0.412576812539322,0.683401130683368,0.87465460130399,-6.25314803132988,"ANO6",0.619857170452466,0.165324306998858,""
"COQ8A",-0.0306049098754073,16.3241275527013,-0.302208749125986,0.764969877828504,0.911981559840472,-6.29269023750675,"COQ8A",0.646310335925471,0.116355665696608,""
"HNRNPU",-0.0306758839937373,13.4079901799547,-0.445478881118187,0.659772242999918,0.862817776902027,-6.23902799645239,"HNRNPU",0.611468555712424,0.180605959426535,""
"SCP2",-0.0307093879653912,12.9222807458813,-0.347201451560239,0.731319123373593,0.896859481210406,-6.27802999707127,"SCP2",0.635593501123461,0.135893069995636,""
"PSMB1",-0.030731354896929,15.1450522105422,-0.487482686566025,0.630124748052491,0.852091498307895,-6.21945505066799,"PSMB1",0.60386697139682,0.200573463200981,""
"SFPQ",-0.0307889387606881,12.3010305626488,-0.413009325421483,0.683088307453724,0.87465460130399,-6.25296933977896,"SFPQ",0.619857170452466,0.165523148498876,""
"TNNT3",-0.0308253448314169,21.6797945804297,-0.338230092065883,0.737987826316914,0.900023732922083,-6.28111388428983,"TNNT3",0.637835968160936,0.131950802143076,""
"MT-ND2",-0.0308595336125883,13.3650094836889,-0.286790421579758,0.776614509654591,0.915777016947851,-6.29725029406949,"MT-ND2",0.649000130616594,0.109794499697701,""
"EIF2S1",-0.0308831019177163,12.2746472530542,-0.473092301194765,0.640214230248863,0.853005938096306,-6.22635561159313,"EIF2S1",0.604515023849695,0.19367467688062,""
"MSI2",-0.0312192316228703,12.4770137897805,-0.406697947326244,0.687658829454737,0.87695603313103,-6.25555855413065,"MSI2",0.621488167440501,0.162626976349938,""
"AARS1",-0.0312367932154913,12.2786702139406,-0.580531107373297,0.566705382129719,0.819293078891898,-6.16995870989383,"AARS1",0.580623126999039,0.24664266274559,""
"TCP1",-0.0315236741996987,12.7012550741979,-0.511178133878161,0.613670237083624,0.842775825422098,-6.20765091407028,"TCP1",0.597265066339393,0.212064939423896,""
"PGP",-0.0316199153147849,14.600743800941,-0.415400069236164,0.681360198451684,0.87465460130399,-6.25197827957047,"PGP",0.619857170452466,0.166623239270728,""
"TBC1D4",-0.0317143575328451,11.4239756754391,-0.36893061104204,0.715256995647054,0.890093125977107,-6.27022953079205,"TBC1D4",0.630798266749875,0.145537885838596,""
"NCL",-0.0318189429624791,13.5170484548438,-0.389816267881612,0.699943272212488,0.881774689301534,-6.26229077431295,"NCL",0.624903090971206,0.154937156504902,""
"PSMA7",-0.0318696223508113,13.470203223021,-0.568720327627156,0.574573241064836,0.824066705837603,-6.1767075364306,"PSMA7",0.584006138861034,0.240654603767829,""
"RAB11B",-0.0320104546370299,15.2340233307644,-0.566624831755192,0.575974881331703,0.824547457490839,-6.1778908206634,"RAB11B",0.584346841761381,0.239596456050578,""
"RPL26L1",-0.0320822570713748,12.3038481706766,-0.19862090690183,0.844287088204996,0.947797412767536,-6.27958621525566,"RPL26L1",0.671692599072104,0.0735098523994076,""
"AKAP1",-0.032111045933835,11.2696946892882,-0.386214320072837,0.702575286837024,0.882812350456208,-6.26369071155452,"AKAP1",0.625638468920702,0.153307130631485,""
"LSM2",-0.0321926349991468,12.9320310335919,-0.47348117241724,0.639940641180626,0.853005938096306,-6.22617180583476,"LSM2",0.604515023849695,0.193860307896218,""
"STAM",-0.0323990120144817,11.4532942279615,-0.313843010370583,0.756220124889209,0.907977396423869,-6.289092489936,"STAM",0.643472633589321,0.121351769168626,""
"MRPS14",-0.0324763831033668,10.1916051506537,-0.134674259940659,0.894268758649359,0.965702434924289,-6.17205424120116,"MRPS14",0.684381672398223,0.0485319410951702,""
"LSS",-0.0325005040456059,12.9018821447019,-0.340185737547603,0.736532326908722,0.900013140457215,-6.28044845054771,"LSS",0.637828461408795,0.132808186920507,""
"ADSS1",-0.0325476639291473,15.4593027651358,-0.553306710401611,0.584922925414969,0.82702965182008,-6.18531178488377,"ADSS1",0.586105942955317,0.232901356605392,""
"STUB1",-0.0327996180235122,12.7428218574803,-0.502846097124218,0.619433256237569,0.845781663828906,-6.2118641633185,"STUB1",0.599395267777656,0.208005481877603,""
"FRMD8",-0.0328043686208694,16.3915312121477,-0.251052459099648,0.803806653179559,0.928311307401431,-6.30690755017643,"FRMD8",0.657883031138243,0.094848403434838,""
"WASHC5",-0.0328306806535199,10.998114616729,-0.288996831768866,0.775261260499514,0.915745708740649,-6.22556610306459,"WASHC5",0.648977942867625,0.110551917012872,""
"GMFB",-0.0329705136676228,10.6266798402271,-0.192090321824954,0.849916697562779,0.951136765019494,-6.09801722212276,"GMFB",0.674059157751333,0.070623638475935,""
"PSMA1",-0.0331275913863074,15.3849166216744,-0.557649131099701,0.581997861837829,0.825953632498184,-6.18291105658672,"PSMA1",0.585343381035186,0.235078610871998,""
"HACD1",-0.0331438120846936,12.8483420316009,-0.223927739308773,0.824616659277297,0.93895563984455,-6.31338483974406,"HACD1",0.665426541204628,0.0837478956332302,""
"NSFL1C",-0.0332745230185374,13.6265480991723,-0.58179525180362,0.565866515675435,0.819293078891898,-6.16922836550932,"NSFL1C",0.580623126999039,0.247286004045999,""
