"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"FH",-0.322441499465267,15.1932473168971,-5.76530408699454,5.14330728776659e-06,3.35427990088286e-05,2.84676582974883,"FH",1.14674701328638e-05,5.28875752790627,"+"
"PDK1",-0.323106353422769,10.4932734262824,-1.98443523327722,0.0610237852296021,0.111351878338018,-6.15314282683158,"PDK1",0.0380685087950894,1.2145008571108,"+"
"MRPS27",-0.323719536494009,12.2137305635913,-3.55149430020377,0.00154419264264949,0.00486361225072112,-2.83822623744032,"MRPS27",0.00166275116779297,2.81129852108526,"+"
"PDF",-0.323776118127988,11.3647951802121,-2.32739924675048,0.0365933832841347,0.0722530043741225,-5.06327866804327,"PDF",0.0247015512763811,1.43659743545181,"+"
"NHLRC2",-0.324510339980673,12.5186755417746,-6.03581856602533,2.59072600947481e-06,1.85204293402847e-05,3.54076151930087,"NHLRC2",6.33168598278364e-06,5.58657851478924,"+"
"ARMT1",-0.324663892127354,13.0263041534166,-4.33408289836327,0.000207663661670469,0.000849344376232219,-0.862980395845963,"ARMT1",0.000290370259929567,3.68263949247161,"+"
"MRPL15",-0.324868737221813,10.3726057343218,-2.37343428400038,0.0276983602429022,0.0571740485763727,-5.43507193811187,"MRPL15",0.0195464216999866,1.55754594063007,"+"
"BABAM1",-0.32496688562151,11.4806695069453,-2.44302375565677,0.0222623490324026,0.0474920190481582,-5.35298160624115,"BABAM1",0.0162363704305299,1.65242901259852,"+"
"MPST",-0.325328066167588,13.6222968898751,-3.62040359212527,0.00129759533507872,0.00416015167338229,-2.66852153034844,"MPST",0.00142225504347858,2.88686072444088,"+"
"MYBPC1",-0.326050287507442,19.4747707177586,-5.71628550638794,5.82780931559119e-06,3.74103544182457e-05,2.72048011235913,"MYBPC1",1.27896936042268e-05,5.23449466667235,"+"
"PPP6C",-0.326167600219826,9.52976422429916,-2.59666367541894,0.0167970711385367,0.0377176585644161,-4.9850922105473,"PPP6C",0.0128947534448497,1.7747664384683,"+"
"CRYAB",-0.326633117061121,19.4313029341515,-5.55687993898259,8.76061333500709e-06,5.36753436887241e-05,2.3088505688322,"CRYAB",1.83502992835999e-05,5.05746548758938,"+"
"GNB1",-0.326818567707445,11.8978782514205,-4.64563540707949,9.24840987726463e-05,0.000414369287615159,-0.0575854779964953,"GNB1",0.000141662817955418,4.03393293114136,"+"
"DHRS7C",-0.328847573541028,13.5487136968318,-3.1191772288355,0.00451234867751504,0.0120624222817232,-3.87519171074016,"DHRS7C",0.0041238498674259,2.34559734899147,"+"
"HERC4",-0.328954168115265,12.0549071776519,-4.01636978516677,0.000471997957220249,0.00173692821532336,-1.67572622557499,"HERC4",0.000593813665547304,3.32605988096314,"+"
"NOL3",-0.329359957205302,14.8356753653461,-5.87734158869533,3.86856467331896e-06,2.64968915304119e-05,3.13482396212693,"NOL3",9.05864511064668e-06,5.41245013836156,"+"
"TAGLN2",-0.329899299635674,13.5894007817535,-4.03595894485419,0.000448783046804617,0.00166433401943215,-1.62595885242142,"TAGLN2",0.000568995469159381,3.34796355731845,"+"
"PRDX3",-0.33009739689486,18.1002709836449,-5.64057860869846,7.07093381991398e-06,4.44924912668433e-05,2.52515714124073,"PRDX3",1.52109045701564e-05,5.1505232274966,"+"
"HLA-DRA",-0.330325202166513,13.0179440578632,-2.36908646095461,0.0258316459827502,0.0538253292930231,-5.5150220933965,"HLA-DRA",0.0184015757270835,1.58784791986422,"+"
"FIS1",-0.330656463795755,13.9820395800309,-3.62741949091977,0.00127476179897698,0.00409612012398552,-2.65118521990487,"FIS1",0.00140036420842706,2.89457095958651,"+"
"POLDIP2",-0.33075720443196,12.0703719921685,-4.84848937729332,5.46013923888192e-05,0.000261751913832668,0.469236214624496,"POLDIP2",8.9486636261512e-05,4.26279628222071,"+"
"PRKAA1",-0.330792055791447,11.3157196137763,-3.522564198925,0.00166085102769424,0.0051797565275475,-2.90915397137876,"PRKAA1",0.00177083323486281,2.77966932043954,"+"
"NDUFV3",-0.330923936082362,14.9539387296864,-1.78508731082775,0.0863354854460626,0.148099757239112,-6.58784865073143,"NDUFV3",0.0506317180738816,1.06381066470366,""
"CS",-0.331045196970397,18.2698770139392,-4.97831129074016,3.8984012062858e-05,0.00019615329795424,0.806816844948344,"CS",6.70600591549001e-05,4.40911346724261,"+"
"IL18",-0.331372009002269,12.2277813359482,-2.16899016242094,0.0406186310350514,0.0783105324264998,-5.87777970641966,"IL18",0.0267724733243992,1.39127471766045,"+"
"MRPS7",-0.33148062752791,11.9954978481669,-3.68143832471949,0.00116718459187279,0.00381466836362078,-2.53318716421371,"MRPS7",0.0013041426720259,2.93286045424414,"+"
"HLA-DRB5",-0.331500351711771,10.1703984529223,-1.6688573479431,0.113343126573445,0.184901066313261,-6.58859322628671,"HLA-DRB5",0.0632131938340594,0.945604811503364,""
"IARS2",-0.33185630388601,14.9357786407375,-6.72309117885163,4.69022208351633e-07,4.30388007214976e-06,5.27591196648357,"IARS2",1.47139230002286e-06,6.32880659281537,"+"
"POR",-0.33381366235465,11.4700501006715,-2.25246280862168,0.03328009232019,0.0663516046745849,-5.74585069650589,"POR",0.0226840057287145,1.47781547763091,"+"
"COQ7",-0.333875640105292,13.7365186896739,-7.41753335554995,8.8223272796934e-08,1.03517717220337e-06,6.97831316580673,"COQ7",3.53901989554898e-07,7.05441683534378,"+"
"DBI",-0.335163740612856,17.9978065263129,-3.82393768600858,0.00077325230043717,0.0026834198013959,-2.16160463490406,"DBI",0.000917396202336704,3.11167877929028,"+"
