"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"CPT1B",0.0971461089070553,13.4307368473945,2.07407760299573,0.040882590853695,0.131355947742926,-4.56630147637461,"CPT1B",0.0652295784752114,1.38846158944358,""
"HEXB",0.0967123213042216,13.1698489232118,1.36395622865333,0.176689922728802,0.353133415997732,-5.63512320409249,"HEXB",0.175361255176084,0.752788219186362,""
"RABEP1",0.096597215161192,10.7357858541756,1.66695362649826,0.0989443758171947,0.240725450842173,-5.29500845003926,"RABEP1",0.119540987343954,1.00460888686411,""
"NARS1",0.0964874475245834,14.4417132395351,2.7588040154079,0.00700653254404353,0.0382489948023405,-3.02282912291112,"NARS1",0.0189939310014349,2.15449685643457,"+"
"OTUD4",0.0963985685121962,9.777519280225,1.04239766525087,0.300067581783167,0.490429580389524,-6.10422553272285,"OTUD4",0.243540664509471,0.522780921646728,""
"TRIAP1",0.0962674036063866,11.5834206496222,1.4387899474014,0.153699336307733,0.327267680429394,-5.62841167915278,"TRIAP1",0.162516682417369,0.813328007832144,""
"ERP44",0.0959502683494176,12.3769115083892,2.26582673597142,0.0258211310438596,0.0961252823886482,-4.17311265364198,"ERP44",0.0477345088575166,1.58802473823735,"+"
"RPL10A",0.0953609270655296,13.0484492208577,1.68270864014132,0.0958422249619887,0.235222359019147,-5.26955917707815,"RPL10A",0.116808226733609,1.0184431127605,""
"ACTN1",0.0953422479757933,15.0740563075171,2.43020063470479,0.0170423879090359,0.0730096916999953,-3.81146754211688,"ACTN1",0.0362556206706088,1.76846955375593,"+"
"UGDH",0.0953212304787954,17.0836946475258,1.43368742374101,0.155071153080311,0.328741981045301,-5.64526169580794,"UGDH",0.16324880006696,0.809468983767484,""
"UFC1",0.0952550633705389,11.5656367812677,1.27357728397066,0.20699824192528,0.38886310521021,-5.6811427387342,"UFC1",0.193104133259849,0.684033343071547,""
"ATP2B1",0.0951349948389346,11.8244175767453,1.57894366114066,0.117918095249656,0.271885165716423,-5.4191595401108,"ATP2B1",0.135014478278928,0.928419544658403,""
