"","protein","group"
"1381","BDH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1382","DSG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1383","RPL18A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1384","CACNB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1385","MAP2K1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1386","FKBP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1387","PLOD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1388","NUCB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1389","RPL6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1390","AKAP12","Male_type_I, Male_type_II"
"1391","SLC25A11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1392","GSTM4","Male_type_I, Female_type_I"
"1393","CAV1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1394","ACY1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1395","KMT2A","Male_type_I, Male_type_II, Female_type_II"
"1396","LMNB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1397","CFHR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1398","UBXN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1399","GBE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1400","EIF4G1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1401","KRT17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1402","PRKCQ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1403","GLO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1404","SSBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1405","YWHAH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1406","UBE3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1407","LIPE","Male_type_I, Female_type_I"
"1408","EEF1A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1409","CALD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1410","PTPN11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1411","PPP2R3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1412","PSME1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1413","CACNG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1414","PRDX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1415","RPL18","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1416","C1QBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1417","CKAP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1418","TJP1","Male_type_I, Female_type_I"
"1419","DPT","Male_type_I, Male_type_II, Female_type_II"
"1420","KHDRBS1","Male_type_I"
"1421","SCN1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1422","BAX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1423","KLC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1424","SRSF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1425","ARHGAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1426","ACTN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1427","SRSF4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1428","PPP3CA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1429","DHX9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1430","CRYZ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1431","GOLGA3","Male_type_I, Male_type_II, Female_type_I"
"1432","DMTN","Male_type_I, Female_type_I"
"1433","DSC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1434","PUDP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1435","PPID","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1436","VAC14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1437","NSUN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1438","AHNAK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1439","LMOD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1440","SCRN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1441","NEXN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1442","AP1B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1443","BST2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1444","PMPCA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1445","WASHC5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1446","STX4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1447","GRSF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1448","AIMP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1449","ILF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1450","ILF3","Male_type_I, Male_type_II, Female_type_I"
"1451","LMAN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1452","TRAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1453","ANK3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1454","BNIP1","Male_type_I, Male_type_II, Female_type_I"
"1455","BNIP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1456","HSPB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1457","ECH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1458","STRN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1459","FLII","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1460","COASY","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1461","TRDN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1462","GPS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1463","MTAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1464","PRKAA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1465","CALCOCO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1466","EIF2B5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1467","TARDBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1468","HNRNPA0","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1469","PAK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1470","AIMP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1471","PRDX4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1472","PAK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1473","CBX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1474","PSMD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1475","MYBPH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1476","SELENBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1477","TRIM28","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1478","G3BP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1479","PABPC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1480","SGCG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1481","EIF3I","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1482","MFAP5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1483","CTBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1484","UBE2V1","Male_type_I, Male_type_II"
"1485","MRPL49","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1486","DYNC1I2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1487","ILK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1488","NNT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1489","SNTA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1490","SNTB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1491","SF3B2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1492","GOLGA4","Male_type_I, Male_type_II, Female_type_I"
"1493","PDAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1494","TMED1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1495","FKBP5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1496","ROCK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1497","PICALM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1498","MTM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1499","SQSTM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1500","MTX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1501","ART3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1502","ASAH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1503","PPP1R1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1504","PIN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1505","EIF4EBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1506","CAMK2B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1507","CAMK2G","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1508","CAMK2D","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1509","DCTN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1510","NAE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1511","STIM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1512","SNX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1513","CUL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1514","CUL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1515","CUL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1516","CUL4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1517","DYRK1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1518","FHL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1519","FHL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1520","ITGA7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1521","CACNA1S","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1522","MOGS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1523","SPTAN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1524","AUH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1525","DDX39B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1526","BLMH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1527","SNTB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1528","TUBB2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1529","IDI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1530","CBFB","Male_type_I, Male_type_II, Female_type_II"
"1531","PRKG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1532","CKAP5","Male_type_I, Male_type_II"
"1533","CIRBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1534","COX17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1535","HNRNPD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1536","SCARB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1537","NID2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1538","IL18","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1539","DAG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1540","UBE4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1541","EIF3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1542","UBAP2L","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1543","GIT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1544","MLEC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1545","TTLL12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1546","DPYSL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1547","DCTN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1548","DYNC1H1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1549","EIF4A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1550","CTTN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1551","ENDOG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1552","FLOT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1553","RCN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1554","FLNC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1555","MYBPC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1556","GAMT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1557","GALE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1558","CAPRIN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1559","SPARCL1","Male_type_I, Female_type_I, Female_type_II"
"1560","PRPSAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1561","ITIH4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1562","RASA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1563","KCNJ11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1564","CLINT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1565","BMS1","Male_type_I, Male_type_II, Female_type_I"
"1566","LPIN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1567","MESD","Male_type_I, Male_type_II"
"1568","GANAB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1569","RFTN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1570","SSPN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1571","PPP2R5D","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1572","COG2","Male_type_I, Male_type_II, Female_type_II"
"1573","MVP","Male_type_I"
"1574","LASP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1575","PTGR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1576","NFIX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1577","KPNB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1578","SLMAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1579","SPCS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1580","EMC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1581","PSMD6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1582","ABRAXAS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1583","SEPTIN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1584","SART3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1585","EFTUD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1586","LARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1587","SNX17","Male_type_I, Female_type_II"
"1588","KARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1589","ARHGEF6","Male_type_I"
"1590","EIF4H","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1591","WDR43","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1592","EEA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1593","PDIA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1594","PAFAH1B3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1595","PDK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1596","PDK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1597","PEA15","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1598","PGM5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1599","PMVK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1600","PLEC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1601","PON2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1602","PPP2R5A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1603","PPA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1604","PTGES3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1605","NONO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1606","PTPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1607","RABEP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1608","RAB35","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1609","RCN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1610","TMED2","Male_type_I, Female_type_II"
"1611","PCBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1612","PCBP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1613","ELOC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1614","ELOB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1615","UBE3C","Male_type_I, Female_type_I"
"1616","TOMM20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1617","SF3B3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1618","RSU1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1619","CNN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1620","PPP1R7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1621","SEC23A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1622","CYTH1","Male_type_I, Female_type_I"
"1623","SF3A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1624","SKIC2","Male_type_I, Female_type_I"
"1625","RGN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1626","SURF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1627","MAPRE2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1628","TGFBI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1629","SLC9A3R2","Male_type_I, Female_type_I"
"1630","TSN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1631","TRIP10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1632","MAPRE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1633","ELAVL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1634","TAB1","Male_type_I, Male_type_II, Female_type_II"
"1635","SPEG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1636","SMAD2","Male_type_I, Male_type_II"
"1637","TBCE","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1638","TBCC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1639","UBE2V2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1640","VAMP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1641","NEDD8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1642","ADIRF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1643","ADIPOQ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1644","RAB11B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1645","ZYX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1646","HSPB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1647","ETFDH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1648","SEPTIN7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1649","ADRM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1650","IGFBP7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1651","LAMA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1652","PSMD5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1653","DDB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1654","MAPK14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1655","CDC37","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1656","DPYSL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1657","SYPL1","Male_type_I, Male_type_II, Female_type_I"
"1658","RBBP7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1659","SGCB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1660","SGCA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1661","FXN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1662","ECM1","Male_type_I, Female_type_I, Female_type_II"
"1663","SRSF7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1664","CPSF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1665","PDK4","Male_type_I, Female_type_I, Female_type_II"
"1666","FSCN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1667","DECR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1668","NDUFA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1669","CLPP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1670","TST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1671","KYAT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1672","GUK1","Male_type_I"
"1673","HAGH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1674","H2AC20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1675","NDUFA9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1676","PHKG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1677","PPP1R3A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1678","HADH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1679","UGP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1680","AOC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1681","ATP6V1F","Male_type_I, Female_type_I"
"1682","TXNRD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1683","TPD52L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1684","IMMT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1685","TATDN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1686","HNRNPUL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1687","IAH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1688","SMTNL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1689","SMU1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1690","KLHL40","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1691","MYLK3","Male_type_I, Female_type_I"
"1692","LRRFIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1693","NDUFAF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1694","TKFC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1695","KRT71","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1696","TIMM50","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1697","LGALSL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1698","CDNF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1699","NADK2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1700","PREPL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1701","ANO6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1702","MIX23","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1703","FAM98B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1704","HIKESHI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1705","PDLIM3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1706","HSD17B12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1707","AGK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1708","LACTB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1709","EIPR1","Male_type_I, Male_type_II, Female_type_I"
"1710","HS1BP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1711","ACTBL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1712","DCAF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1713","CAVIN4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1714","DNAJC21","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1715","HERC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1716","PPP6R3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1717","COQ5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1718","EMC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1719","EARS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1720","MIA3","Male_type_I, Female_type_I"
"1721","PITRM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1722","WDR44","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1723","COA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1724","SPECC1","Male_type_I, Female_type_I"
"1725","TBCEL","Male_type_I"
"1726","COX20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1727","C6orf136","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1728","PHYHD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1729","HP1BP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1730","PERM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1731","ODR4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1732","HYI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1733","FNBP1L","Male_type_I, Female_type_I"
"1734","THEM4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1735","IBA57","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1736","RBM20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1737","UBR4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1738","KIAA1217","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1739","UBAP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1740","CPTP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1741","DCAF8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1742","ATPAF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1743","NDUFAF5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1744","NT5DC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1745","MICOS10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1746","LYRM7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1747","EMC10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1748","OBSCN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1749","MYOM3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1750","MLIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1751","LYPLAL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1752","SYPL2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1753","ECPAS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
